descripción,generales,m2totales,ambientes,metros,unidades,banos,datos_principales,ubicación,price,habitaciones,areas_sociales,detail,exteriores,servicios,comment,entrega,title
"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios residenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento de 130 m2 de una recámara con vestidor, sala, comedor, cocina, terraza 25 m2, bodega, baño de servicio, elevador hall y vigilancia 24hrs. Áreas Comunes: Roof Garden y club room para eventos sociales.","Cuartos de servicio (SI)
Estado de conservación (Excelente)","130 m²
			totales",Bodega(s) (1),_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
U$D 432,868
130m² Superficie de terreno
130m² Superficie construída
1 recamara
1 Baño
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar",_,"U$D 432,868","1
			
					recamara",,/propiedades/excelente-departamento-en-venta-en-residencial-casa-51631313.html,,Cisterna (SI),"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios residenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento de 130 m2 de una recámara con vestidor, sala, comedor, cocina, terraza 25 m2, bodega, baño de servicio, elevador hall y vigilancia 24hrs. Áreas Comunes: Roof Garden y club room para eventos sociales.",totales,"Excelente Departamento en Venta en Residencial Casa Bosques, Bosques de Las Lomas, México D. F."
"Departamento de 94.22 m2, 1 cajón de Estacionamiento fijo en semisótano y Elevador, 2 Recámaras con closets, 2 Baños completos. Cocina integral equipada, gabinetes y cubierta de granito, Sala Comedor. En acabados tiene la carpintería en color en chocolate, pasta texturizada en muros, pisos de loseta cerámica y zotehuela con lavadero. Interfón, Vigilancia 24 horas. Informes y Ventas: Ver datos y Ver datos. Se aceptan Créditos Fovissste. Sábado y Domingo: Previa Cita.","Elevador(es) (1)
Cuartos de servicio 
Centros Comerciales Cercanos 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (1)
Número de departamentos (18)","94 m²
			totales",Estudio,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 2,493,750
94m² Superficie de terreno
94m² Superficie construída
2 Recámaras
2 Baños
1 estacionamiento
Antigüedad: A estrenar","Candelaria, Coyoacán, México, D.F., Pueblo de los Reyes, Coyoacán","MN 2,493,750","2
			
					Recámaras",,/propiedades/venta-departamentos-a-estrenar-delegacion-coyoacan-1137029.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Departamento de 94.22 m2, 1 cajón de Estacionamiento fijo en semisótano y Elevador, 2 Recámaras con closets, 2 Baños completos. Cocina integral equipada, gabinetes y cubierta de granito, Sala Comedor. En acabados tiene la carpintería en color en chocolate, pasta texturizada en muros, pisos de loseta cerámica y zotehuela con lavadero. Interfón, Vigilancia 24 horas. Informes y Ventas:  y . Se aceptan Créditos Fovissste. Sábado y Domingo: Previa Cita.",totales,Venta Departamentos a Estrenar Delegacion Coyoacán
"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios recidenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento en Venta de 130 m2 de una recámara con vestidor, sala, comedor, cocina, terraza de 25 m2, bodega, baño de servicio, elevador hall y vigilancia 24 hrs. Áreas Comunes: Roof garden y club room para eventos sociales.","Cuartos de servicio (SI)
Cocina integral (SI)
Estado de conservación (Excelente)","130 m²
			totales",Bodega(s) (1),_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
U$D 436,733
130m² Superficie de terreno
130m² Superficie construída
1 recamara
1 Baño
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar",_,"U$D 436,733","1
			
					recamara",,/propiedades/excelente-departamento-en-venta-en-residencial-casa-51631317.html,,Cisterna (SI),"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios recidenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento en Venta de 130 m2 de una recámara con vestidor, sala, comedor, cocina, terraza de 25 m2, bodega, baño de servicio, elevador hall y vigilancia 24 hrs. Áreas Comunes: Roof garden y club room para eventos sociales.",totales,"Excelente Departamento en Venta en Residencial Casa Bosques, Bosques de Las Lomas, México D. F."
"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios residenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento en Venta de 173 m2 de dos recámaras principal con baño y vestidor, sala, comedor, cocina, sala tv, terraza de 8 m2, cuarto de servicio con baño, elevador hall y vigilancia 24 hrs. Áreas Comunes: Roof garden, club room para eventos sociales.",Cuartos de servicio (SI),"173 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
U$D 630,135
173m² Superficie de terreno
173m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: En construcción",_,"U$D 630,135","2
			
					Recámaras",,/propiedades/excelente-departamento-en-venta-en-residencial-casa-51631311.html,,Cisterna (SI),"Casa Bosques es una exclusiva alternativa de lujo para quien busca una gran ubicación en Bosques de las Lomas, amplios espacios residenciales, amplias alturas y agradables terrazas.Todo rodeado de un ambiente de lujo y sofisticados materiales. Excelente Departamento en Venta de 173 m2 de dos recámaras principal con baño y vestidor, sala, comedor, cocina, sala tv, terraza de 8 m2, cuarto de servicio con baño, elevador hall y vigilancia 24 hrs. Áreas Comunes: Roof garden, club room para eventos sociales.",totales,"Excelente Departamento en Venta en Residencial Casa Bosques, Bosques de Las Lomas, México D. F."
"REMATE BANCARIO. OPORTUNIDAD UNICA DE INCREMENTAR O INICIAR TU PATRIMONIO. EXCELENTE PLUSVALIA!!! REMATE $ 2,500,000. CARACTERISTICAS: DEPARTAMENTO QUE CONSTA DE SALA, COMEDOR, COCINA, ESTUDIO, 3 RECAMARAS, 2 BAÑOS, ESTACIONAMIENTO, 2 ELEVADORES y VIGILANCIA LAS 24 HORAS. SUPERFICIE: 129 metros cuadrados. AVALUO $ 3,800,000. NO SE ACEPTAN CREDITOS DE NINGUN TIPO. DIRECCION: J. ENRIQUE PESTALOZZI 611, NARVARTE, BENITO JUAREZ, MEXICO D.F. EXELENTE MANERA DE INVERTIR","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral","195 m²
			totales",Estudio,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 2,500,000
195m² Superficie de terreno
195m² Superficie construída
3 Recámaras
2 Baños
4 Medios baños
1 estacionamiento
Antigüedad: de 5 a 10 años",_,"MN 2,500,000","3
			
					Recámaras",,/propiedades/departamento-de-recuperacion-bancaria-51990932.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","REMATE BANCARIO. OPORTUNIDAD UNICA DE INCREMENTAR O INICIAR TU PATRIMONIO. EXCELENTE PLUSVALIA!!! REMATE $ 2,500,000. CARACTERISTICAS: DEPARTAMENTO QUE CONSTA DE SALA, COMEDOR, COCINA, ESTUDIO, 3 RECAMARAS, 2 BAÑOS, ESTACIONAMIENTO, 2 ELEVADORES y VIGILANCIA LAS 24 HORAS. SUPERFICIE: 129 metros cuadrados. AVALUO $ 3,800,000. NO SE ACEPTAN CREDITOS DE NINGUN TIPO. DIRECCION: J. ENRIQUE PESTALOZZI 611, NARVARTE, BENITO JUAREZ, MEXICO D.F. EXELENTE MANERA DE INVERTIR",totales,Departamento de Recuperacion Bancaria
"UBICADO: FRENTE A HOSPITAL ABC DE SANTA FÉ, JUNTO A HYATT SUITES Y BELLMONT VILLAGE. PLANTA BAJA, MUY ILUMINADO CON VISTA AL BOSQUE. TERRAZA PRIVADA DE 50M2, ACCESO POR COCINA Y RECÁMARA PRINCIPAL, ESPACION PARA ASADOR, FOGATA Y MUEBLES DEL JARDÍN, VISTA AL BOSQUE Y AL JARDÍN INTERIOR DEL DESARROLLO, ESPACIO IDEAL PARA MASCOTAS. COCINA INTEGRAL CON AZULEJO VENECIANO Y CAMPANA, COCINA CON VISTA AL BOSQUE. ZONA DE LAVADO. 2 RECÁMARAS CON DOBLE ALTURA CON CLOSETS Y PERSIANAS DOBLES HUNTER DOUGLAS. BAÑO RENOVADO CON AZULEJO VENECIANO Y TINA DE JACUZZI. AMPLIA SALA COMEDOR 1 CAJÓN DE ESTACIONAMIENTO, CON OPCIÓN A PODER ADQUIRIR OTRO (DISPONIBLES EN VENTA)","Elevador(es) (2)
Alberca 
Cuartos de servicio 
Jacuzzi 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral 
Acceso discapacitados 
Acceso tercera edad 
Estado de conservación (Excelente)
M² de jardín (1000)
Piso en el que se encuentra (1)",_,"Estudio 
Sala de música y cine 
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV",_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 4,600,000
125m² Superficie de terreno
75m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: 4 años",_,"MN 4,600,000","2
			
					Recámaras",,/propiedades/isola-santa-fe-planta-baja-con-terraza-propia-venta-51972470.html,"Asador 
Cancha de squash 
Estacionamiento de visitas","Gimnasio 
Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas 
Calefacción","UBICADO: FRENTE A HOSPITAL ABC DE SANTA FÉ, JUNTO A HYATT SUITES Y BELLMONT VILLAGE. PLANTA BAJA, MUY ILUMINADO CON VISTA AL BOSQUE. TERRAZA PRIVADA DE 50M2, ACCESO POR COCINA Y RECÁMARA PRINCIPAL, ESPACION PARA ASADOR, FOGATA Y MUEBLES DEL JARDÍN, VISTA AL BOSQUE Y AL JARDÍN INTERIOR DEL DESARROLLO, ESPACIO IDEAL PARA MASCOTAS. COCINA INTEGRAL CON AZULEJO VENECIANO Y CAMPANA, COCINA CON VISTA AL BOSQUE. ZONA DE LAVADO. 2 RECÁMARAS CON DOBLE ALTURA CON CLOSETS Y PERSIANAS DOBLES HUNTER DOUGLAS. BAÑO RENOVADO CON AZULEJO VENECIANO Y TINA DE JACUZZI. AMPLIA SALA COMEDOR 1 CAJÓN DE ESTACIONAMIENTO, CON OPCIÓN A PODER ADQUIRIR OTRO (DISPONIBLES EN VENTA)",construidos,"Isola Santa Fe Planta Baja con Terraza Propia Venta $4,600,000"
"Precioso Departamento en venta en Polanco muy iluminado muy bien ubicado para inversionista de 60 m2 de construcción de una recamara, un baño, un vestidor y un closets, sala-comedor, cocineta, despensa, lavandería, elevador de servicio, elevador hall y vigilanciaMantenimiento de $1,900.00",,"60 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 4,850,000
60m² Superficie de terreno
60m² Superficie construída
1 recamara
1 Baño
2 Estacionamientos
Antigüedad: de 5 a 10 años",_,"MN 4,850,000","1
			
					recamara",,/propiedades/precioso-departamento-en-venta-en-polanco-mexico-d.-52113290.html,,,"Precioso Departamento en venta en Polanco muy iluminado muy bien ubicado para inversionista de 60 m2 de construcción de una recamara, un baño, un vestidor y un closets, sala-comedor, cocineta, despensa, lavandería, elevador de servicio, elevador hall y vigilanciaMantenimiento de $1,900.00",totales,"Precioso Departamento en Venta en Polanco, México D. F."
"Precioso Departamento en venta en Polanco muy iluminado muy bien ubicado para inversionista de 80 m2 de construcción de dos recamaras, un baño, un vestidor y dos closets, sala-comedor, cocina, despensa, balcón, lavandería, elevador hall, elevador de servicio y vigilancia.Áreas comunes: Gym, salón de fiestas, business center y planta de luz.Mantenimiento de $2,693.00",Estado de conservación (Excelente),"80 m²
			totales",Salón de Fiestas (SI),_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 6,500,000
80m² Superficie de terreno
80m² Superficie construída
2 Recámaras
1 Baño
2 Estacionamientos
Antigüedad: de 5 a 10 años",_,"MN 6,500,000","2
			
					Recámaras",,/propiedades/excelente-departamento-en-venta-en-polanco-mexico-d.-52113291.html,,"Gimnasio (SI)
Cisterna (SI)","Precioso Departamento en venta en Polanco muy iluminado muy bien ubicado para inversionista de 80 m2 de construcción de dos recamaras, un baño, un vestidor y dos closets, sala-comedor, cocina, despensa, balcón, lavandería, elevador hall, elevador de servicio y vigilancia.Áreas comunes: Gym, salón de fiestas, business center y planta de luz.Mantenimiento de $2,693.00",totales,"Excelente Departamento en Venta en Polanco, México D. F."
"DEPA0014 Estupendo y moderno edificio con tan solo 1 departamento por piso, ofreciendo mayor espacio, comodidad y privacidad. Excelente iluminación, terrazas privadas y todo enmarcado por una zona con la mejor conexión a la ciudad, a pocos minutos de la Roma, Polanco y el Centro Histórico.","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral","119 m²
			totales",Salón de usos múltiples,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 6,998,930
119m² Superficie de terreno
119m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
Antigüedad: A estrenar","Av. Baja California y Cholula, Hipódromo Condesa,  Ciudad de México, D.F., Mexico, Hipódromo Condesa, Cuauhtémoc","MN 6,998,930","2
			
					Recámaras",,/propiedades/depa0014-estupendo-y-moderno-edificio-52063229.html,Estacionamiento de visitas,"Seguridad privada 
Calentador de agua 
Gas","DEPA0014 Estupendo y moderno edificio con tan solo 1 departamento por piso, ofreciendo mayor espacio, comodidad y privacidad. Excelente iluminación, terrazas privadas y todo enmarcado por una zona con la mejor conexión a la ciudad, a pocos minutos de la Roma, Polanco y el Centro Histórico.",totales,Depa0014 Estupendo y Moderno Edificio
"Club Residencial Bosques, Lomas de Vista Hermosa. Estrene departamento 271.5 m2 habitables, en 23° piso,  amplia estancia sala-comedor con espectacular vista,  medío baño visitas, recámara principal con walk in closet y baño, 2 recámaras junior con closet y baño, cocina integral, cuarto de lavado, cuarto de servicio con baño, puerta de servicio, bodega, 4 cajones de estacionamiento independientes y techados. Condominio con vigilancia, amplias áreas verdes, alberca de nado techada y descubierta, canchas de futbol y de tenis, pádel, squash, ráquetbol, básketbol, voleibol, fútbol de salón, gimnasio, salón de spinning, salón de aeróbics, pista para correr en el bosque, vestidores y casilleros adultos, alberca para niños y chapoteadero, área de juegos exterior e interior, arenero, muro de escalar, fútbol de pasto, guardería-ludoteca, boliche, cine, golfito, área de snack, salón para talleres, salón de fiestas infantiles, casilleros infantiles, billar, etc. $10,200,000  Visítelo y recórralo virtualmente en www.micasapropia.com.mx  Ver video a través de Youtube buscando: Departamento en Club Residencial Bosques.  http://youtu.be/9NdluerikRU   Ver datos y 044 55 Ver datos","Elevador(es) (2)
Alberca 
Cuartos de servicio 
Jacuzzi 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Fumadores 
Mascotas 
Cocina integral 
Acceso discapacitados 
Acceso tercera edad 
Estado de conservación (Excelente)
M² de jardín (300)
Piso en el que se encuentra (22)
Número de departamentos (100)
Ubicación (Frente)",_,"Bodega(s) (1)
Estudio 
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV",_,_,"3
		
				Baños","Departamento
													
Precio Venta
																	
MN 20,000,000
Mantenimiento
MN 2,000
450m² Superficie de terreno
400m² Superficie construída
3 Recámaras
3 Baños
1 Medio baño
4 Estacionamientos
Antigüedad: A estrenar","Secretaría de Marina 700, Lomas de Vista Hermosa, Cuajimalpa de Morelos, Ciudad de México, D.F., Lomas de Vista Hermosa, Cuajimalpa de Morelos","MN 20,000,000","3
			
					Recámaras",,/propiedades/departamento-350-m2-piso-23-3-recs-3.5-bano-gym-937837.html,"Asador 
Cancha de squash 
Cancha de tenis 
Estacionamiento de visitas","Gimnasio 
Seguridad privada 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas 
Calefacción","Club Residencial Bosques, Lomas de Vista Hermosa. Estrene departamento 271.5 m2 habitables, en 23° piso,  amplia estancia sala-comedor con espectacular vista,  medío baño visitas, recámara principal con walk in closet y baño, 2 recámaras junior con closet y baño, cocina integral, cuarto de lavado, cuarto de servicio con baño, puerta de servicio, bodega, 4 cajones de estacionamiento independientes y techados. Condominio con vigilancia, amplias áreas verdes, alberca de nado techada y descubierta, canchas de futbol y de tenis, pádel, squash, ráquetbol, básketbol, voleibol, fútbol de salón, gimnasio, salón de spinning, salón de aeróbics, pista para correr en el bosque, vestidores y casilleros adultos, alberca para niños y chapoteadero, área de juegos exterior e interior, arenero, muro de escalar, fútbol de pasto, guardería-ludoteca, boliche, cine, golfito, área de snack, salón para talleres, salón de fiestas infantiles, casilleros infantiles, billar, etc. $10,200,000  Visítelo y recórralo virtualmente en www.micasapropia.com.mx  Ver video a través de Youtube buscando: Departamento en Club Residencial Bosques.  http://youtu.be/9NdluerikRU    y 044 55",construidos,"Departamento 350 m², Piso 23, 3 Recs, 3.5 Baño, Gym, Futbol, Pádel, Squash, Pool"
"Consta de: 2 recamaras. Sala. Cocina. Comedor. Patio de servicio. Cajón de estacionamiento. 3er. piso. Pisos de cerámica nuevos en sala, comedor y cocina. Pisos laminados nuevos en recamaras. Mosaico y pisos nuevos en baño. Equipo de baño nuevo. Calentador de paso nuevo.","Centros Comerciales Cercanos 
Escuelas Cercanas","50 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 700,000
50m² Superficie de terreno
50m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 5 a 10 años","Benito Juárez , El Chamizal, Ciudad de México, D.F., Mixcoatl, Iztapalapa","MN 700,000","2
			
					Recámaras",,/propiedades/departamento-en-venta-mixcoatl-51570450.html,,,"Consta de: 2 recamaras. Sala. Cocina. Comedor. Patio de servicio. Cajón de estacionamiento. 3er. piso. Pisos de cerámica nuevos en sala, comedor y cocina. Pisos laminados nuevos en recamaras. Mosaico y pisos nuevos en baño. Equipo de baño nuevo. Calentador de paso nuevo.",totales,Departamento en Venta Mixcoatl
"PISO DE LOSETA CERAMICA 2 RECAMARAS 1 BAÑO ,SALA ,COMEDOR ,COCINA SE ENCUENTA MUY CERCA DEL METRO CONSTITUCION VOCA 7 HOSPITAL GENERAL IZTAPALAPA TIENE MUY CERCA LA BODEGA COMERCIAL MEXICANA",,"50 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 830,000
50m² Superficie de terreno
50m² Superficie construída
Loft
1 Baño
1 estacionamiento
Antigüedad: de 5 a 10 años","Reforma Aeronáutica MZ10 LTSN, Reforma Política, Ciudad de México, D.F., Reforma Política, Iztapalapa","MN 830,000",_,,/propiedades/se-vende-departamento-reforma-politica-51699525.html,,,"PISO DE LOSETA CERAMICA 2 RECAMARAS 1 BAÑO ,SALA ,COMEDOR ,COCINA SE ENCUENTA MUY CERCA DEL METRO CONSTITUCION VOCA 7 HOSPITAL GENERAL IZTAPALAPA TIENE MUY CERCA LA BODEGA COMERCIAL MEXICANA",totales,Se Vende Departamento Reforma Politica
"MODERNO DEPARTAMENTO, ACABADOS DE LUJO, COMODO, AMPLIO, EN EXCELENTE UBICACION. 3 RECAMARAS, VESTIDOR, 2 BAÑOS, SALA, COMEDOR, COCINA EQUIPADA. ELEVADOR. VIGILANCIA. PRECIOS DESDE $4,131,050.00","Elevador(es) (1)
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (7)
Número de departamentos (15)","107 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 4,689,450
107m² Superficie de terreno
107m² Superficie construída
3 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","VIADUCTO, COL. NAPOLES, MEXICO, D.F., Napoles, Benito Juárez","MN 4,689,450","3
			
					Recámaras",,/propiedades/col.-napoles-51341957.html,,"Seguridad privada 
Cisterna 
Calentador de agua 
Gas","MODERNO DEPARTAMENTO, ACABADOS DE LUJO, COMODO, AMPLIO, EN EXCELENTE UBICACION. 3 RECAMARAS, VESTIDOR, 2 BAÑOS, SALA, COMEDOR, COCINA EQUIPADA. ELEVADOR. VIGILANCIA. PRECIOS DESDE $4,131,050.00",totales,Col. Napoles
"Bonito Departamento Exterior 58 m2, 2 recamaras, estancia sala comedor, Cocina equipada, Un baño completo, área de lavado y Balcón. No tiene lugar de estacionamiento.","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (4)
Número de departamentos (10)
Ubicación (Frente)","58 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 880,000
58m² Superficie de terreno
58m² Superficie construída
2 Recámaras
1 Baño
Antigüedad: de 5 a 10 años","Aluminio No., Popular Rastro, Venustiano Carranza","MN 880,000","2
			
					Recámaras",,/propiedades/departamento-venta-col.-popular-rastro-del.-50867215.html,,"Cisterna 
Gas","Bonito Departamento Exterior 58 m2, 2 recamaras, estancia sala comedor, Cocina equipada, Un baño completo, área de lavado y Balcón. No tiene lugar de estacionamiento.",totales,"Departamento Venta, Col. Popular Rastro, Del. Venustiano Carranza, México D. F."
"COMODO DEPARTAMENTO EN VENTA, MUY ILUMINADO, CUENTA CON SALA, COMEDOR, COCINA INTEGRAL, 2 RECAMARAS. 2 BAÑOS, AREA DE LAVADO, PEQUEÑO BALCON, TENDEDERO EN LA AZOTEA. UN ESTACIONAMIENTO, UBICADO CERCA DE AV. DIVISION DEL NORTE Y RIO CHURUBUSCO.","Estado de conservación (Bueno)
Piso en el que se encuentra (1)
Número de departamentos (8)","115 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 2,880,000
115m² Superficie de terreno
115m² Superficie construída
2 Recámaras
2 Baños
1 estacionamiento
Antigüedad: Mas de 50 años","XICOTENCATL ,  COL. DEL CARMEN, DELEG. COYOACAN, MEXICO, D. F., Del Carmen, Coyoacán","MN 2,880,000","2
			
					Recámaras",,/propiedades/col.-del-carmen-deleg.-coyoacan-51922416.html,,"Calentador de agua 
Gas","COMODO DEPARTAMENTO EN VENTA, MUY ILUMINADO, CUENTA CON SALA, COMEDOR, COCINA INTEGRAL, 2 RECAMARAS. 2 BAÑOS, AREA DE LAVADO, PEQUEÑO BALCON, TENDEDERO EN LA AZOTEA. UN ESTACIONAMIENTO, UBICADO CERCA DE AV. DIVISION DEL NORTE Y RIO CHURUBUSCO.",totales,"Col. del Carmen, Deleg. Coyoacan"
"Bonito Departamento 62 m2, 2 recamaras con closet, 2 baños completos, estancia sala comedor, cocina equipada, área de lavado, tercer nivel. Un lugar de estacionamiento. El Edificio cuenta con elevador y vigilancia 24 horas.","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Mascotas 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (3)
Ubicación (Frente)",_,,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 2,490,000
Mantenimiento
MN 1,300
74m² Superficie de terreno
62m² Superficie construída
2 Recámaras
2 Baños
1 estacionamiento
Antigüedad: 1 año","Bugambilias No. 3, Ciudad Jardín, Coyoacán","MN 2,490,000","2
			
					Recámaras",,/propiedades/departamento-venta-col.-ciudad-jardin-coyoacan-51205495.html,,"Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Bonito Departamento 62 m2, 2 recamaras con closet, 2 baños completos, estancia sala comedor, cocina equipada, área de lavado, tercer nivel. Un lugar de estacionamiento. El Edificio cuenta con elevador y vigilancia 24 horas.",construidos,"Departamento Venta, Col. Ciudad Jardin, Coyoacan, México D. F."
"MODERNO DEPARTAMENTO NUEVO, ACABADOS DE LUJO, COMODO, AMPLIO, EN EXCELENTE UBICACION. SALA, COMEDOR, 3 RECAMARAS, VESTIDOR, 2 BAÑOS, COCINA EQUIPADA, VIGILANCIA. ELEVADOR, PRECIOS DESDE $4,131,050.00","Elevador(es) (1)
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (3)
Número de departamentos (15)","107 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 4,260,250
107m² Superficie de terreno
107m² Superficie construída
3 Recámaras
2 Baños
1 estacionamiento
Antigüedad: A estrenar","VIADUCTO MIGUEL ALEMAN, COL. NAPOLES, MEXICO, D. F., Napoles, Benito Juárez","MN 4,260,250","3
			
					Recámaras",,/propiedades/depto.-nuevo-en-la-col.-napoles-51341706.html,,"Seguridad privada 
Cisterna 
Calentador de agua 
Gas","MODERNO DEPARTAMENTO NUEVO, ACABADOS DE LUJO, COMODO, AMPLIO, EN EXCELENTE UBICACION. SALA, COMEDOR, 3 RECAMARAS, VESTIDOR, 2 BAÑOS, COCINA EQUIPADA, VIGILANCIA. ELEVADOR, PRECIOS DESDE $4,131,050.00",totales,Depto. Nuevo en La Col. Napoles
"BONITO DEPARTAMENTO EN PREVENTA, COMODO, AMPLIO, EN EXCELENTE UBICACION. SE ENTREGA EN MAYO 2016.","Elevador(es) (1)
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (4)
Número de departamentos (15)","111 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 4,901,600
111m² Superficie de terreno
111m² Superficie construída
3 Recámaras
2 Baños
1 estacionamiento
Antigüedad: A estrenar","VIADUCTO MIGUEL ALEMAN, COL. NAPOLES, MEXICO, D.F., Napoles, Benito Juárez","MN 4,901,600","3
			
					Recámaras",,/propiedades/col.-napoles-51341771.html,,"Seguridad privada 
Cisterna 
Calentador de agua 
Gas","BONITO DEPARTAMENTO EN PREVENTA, COMODO, AMPLIO, EN EXCELENTE UBICACION. SE ENTREGA EN MAYO 2016.",totales,Col. Napoles
