target_number,description,sku
12807603,"KitchenAid 10"" Countertop Oven Onyx",
13193094,"B&D PORTABLE SINGLE BUFFET RANGE",
13541428,"Pop A Limited Edition Disney vintage",
14054546,"Kitch 5 Sp Blender Green Apple 56oz",
14054649,"Kitch 5 Sp Blender Espresso 56oz",
14054650,"Kitch 5 Sp Blender Majestic Yellow 56oz",
14054653,"Kitch 5 Sp Blender Crystal Blue 56oz",
14078263,"B&D Dlx Digital Coffee Maker Black",
14232153,"Bella Rocket Blender Chrome/Orange",
14536406,"RONCO Pasta Maker White",
14576061,"NutriBullet by Magic Bullet 12pc Blue",
14576062,"NutriBullet by Magic Bullet 12pc Green",
10380235,"Zojirushi Stainless Steel Micom",
10812349,"Fuzzy Logic, Rice Cooker & Warmer",
14348247,"Sunbeam Heritage Stand Mixer Green",
